"query","restaurant_name","restaurant_id","label","reason","district","cuisines","source"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Love Eat - Wrap & Panini","224646","0","Quán ở Quận 1, không mở cuối tuần.","Quận 1","Mexico || Ý","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Fritz - Food - Sausage, Coffee & Tea","1059581","0","Quán ở Quận 7, không phải Quận 2.","Quận 7","Món Việt","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","2 Đô - Food & Drink","1059521","0","Quán ở Quận Phú Nhuận, không phải Quận 2.","Quận Phú Nhuận","Món Việt","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Long Trường Garden & Cafe","181873","4","Quán ở Quận 2, mở cuối tuần, có nhiều lượt xem.","Quận 2","Món Việt","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","You Are Here - Thức Uống Take Away - Thích Quảng Đức","156671","0","Quán ở Quận Phú Nhuận, không phải Quận 2.","Quận Phú Nhuận","Món Việt","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Orgy Lounge","719983","0","Quán ở Quận 1, không phải Quận 2.","Quận 1","Món Việt","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Last Call Rooftop - Berry Lover - Hồ Con Rùa","1000051498","0","Quán ở Quận 3, không phải Quận 2 và không mở cuối tuần.","Quận 3","Món Việt || Món Á","pinecone"
"Gợi ý quán ăn ở quận 2 mở cuối tuần và nhiều lượt yêu thích","Thu Hương - Quán Nhậu Bình Dân","220608","4","Quán ở Quận 2, mở cuối tuần, nhiều lượt xem.","Quận 2","Món Việt","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Ga Kyo - Nhà Hàng Nhật Bản","662231","1","Quán ở quận 7 nhưng không đúng loại món Nhật (cuisine ghi Món Việt).","Quận 7","Món Việt","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Oishi Town - Phố Ẩm Thực Nhật Bản","756070","0","Không ở quận 7.","Quận 2","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Gyu Shige - Ngưu Phồn - Nướng Nhật Bản - Đông Du","1012239","0","Không ở quận 7.","Quận 1","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Sake Lounge - Nhà Hàng Nhật Bản","884122","2","Quán ở quận 7, món Nhật nhưng không có đánh giá chất lượng tốt.","Quận 7","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Kadohachi - Nhà Hàng Nhật Bản","1004949","4","Quán ở quận 7, món Nhật, chất lượng tốt, đánh giá Excellent.","Quận 7","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Shamoji Robata Yaki - Ẩm Thực Nhật Bản - Lê Thị Riêng","915984","0","Không ở quận 7.","Quận 1","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Akabeko Japanese Hotpot & Charcoal Grill - Lẩu Nướng Nhật","651191","0","Không ở quận 7.","Quận 1","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Kushitaro - Japanese Skewer Restaurant & Bar","678937","0","Không ở quận 7.","Quận 1","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Maneki Neko Deli - Ẩm Thực Nhật Bản - SC VivoCity","788054","1","Quán ở quận 7, món Nhật nhưng chất lượng kém, review tiêu cực.","Quận 7","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","K Cafe - Ẩm Thực Nhật","4513","0","Không ở quận 7.","Quận 1","Món Việt || Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Nhật Anh - Các Món Nướng","40084","0","Không ở quận 7 và không phải món Nhật.","Quận 9","Món Việt","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Pizza 4P’s - Pizza Kiểu Nhật - Nguyễn Văn Linh","205431","2","Quán món Nhật ở quận 7, chất lượng tốt nhưng món chủ yếu là pizza kiểu Nhật, có pha trộn món Ý.","Quận 7","Món Nhật || Ý","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Rucolaa Kitchen & Juice Bar","1004877","0","Không ở quận 7.","Quận 3","Món Nhật || Đức","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Gifura - Nhà Hàng Nhật Bản","1018757","0","Không ở quận 7.","Quận 1","Món Nhật","pinecone"
"Ở quận 7 có quán món Nhật nào chất lượng tốt không","Arigato - Quán Ăn Nhật Bản - Trần Ngọc Diện","278093","0","Không ở quận 7.","Tp. Thủ Đức","Món Nhật","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ăn Vặt A Má - Shop Online","1040232","0","Quán ở Quận 11, không đúng quận 10.","Quận 11","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ihandmade - Ăn Vặt & Giải Khát","887820","0","Quán ở Quận 7, không đúng quận 10.","Quận 7","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Khoái Quán - Chuyên Các Món Ăn Vặt","268954","0","Quán ở Quận Gò Vấp, không đúng quận 10.","Quận Gò Vấp","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","S Quán - Ăn Vặt Online","204296","0","Quán ở Quận Gò Vấp, không đúng quận 10.","Quận Gò Vấp","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Quán Doanh - Đồ Ăn Nhanh","922545","0","Quán ở Quận 11, không phải quận 10.","Quận 11","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ăn Vặt 106 - 108","1019158","0","Quán ở Quận 1, không đúng quận 10.","Quận 1","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Phố Hàng Rong Sài Gòn - Công Viên Bách Tùng Diệp","692104","0","Quán ở Quận 1, không phải quận 10.","Quận 1","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Bếp Chợ Nhỏ - Các Món Ăn Vặt","1017307","0","Quán ở Quận 9, không đúng quận 10.","Quận 9","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ăn Vặt Số 10","1065134","2","Quán đúng quận 10 và là ăn vặt, nhưng lượt xem ít, không nhiều người xem.","Quận 10","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Quán Lạ Mà Quen - Đường 3 Tháng 2","161359","0","Quán ở Quận 11, không đúng quận 10.","Quận 11","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Nghiệp Quán - Food & Drink","963634","0","Quán ở Quận 4, không đúng quận 10.","Quận 4","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Khu Ăn Vặt Chung Cư Ngô Gia Tự","248900","4","Quán ăn vặt đúng quận 10, có lượt xem thịnh hành, phù hợp yêu cầu.","Quận 10","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ăn Vặt Cô Lùn - Bánh Bột Lọc - Shop Online","1037959","0","Quán ở Quận Gò Vấp, không đúng quận 10.","Quận Gò Vấp","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Ngon24h - Quán Ăn Vặt","714353","0","Quán ở Quận Gò Vấp, không đúng quận 10.","Quận Gò Vấp","Món Việt","pinecone"
"Mình muốn kiếm quán ăn vặt ở quận 10 được nhiều người xem","Quán Chuối Đông - Ăn Vặt Bình Dân","659345","0","Quán ở Quận 7, không đúng quận 10.","Quận 7","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Cô 3 Quán - Quán Ăn Bình Dân","694907","1","Quán món Việt, không rõ món Bắc; vị trí Tân Bình phù hợp giá ổn nhưng thiếu món Bắc.","Quận Tân Bình","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Hương Bắc Quán","178754","2","Quán món Bắc đúng nhưng ở Quận 1, không ở Tân Bình.","Quận 1","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Ẩm Thực Bắc Biên Giới","924079","2","Quán món Bắc đúng, nhưng ở Quận 1 không phải Tân Bình.","Quận 1","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Thành Đạt Quán - Ẩm Thực Bắc","277331","4","Quán món Bắc, vị trí ở Quận Tân Bình, giá phù hợp.","Quận Tân Bình","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Ba Thằng Xào - Quán Ăn Bình Dân","659565","0","Quán món Việt, không phải món Bắc, ở Quận Tân Phú không phải Tân Bình.","Quận Tân Phú","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Cô Ba - Quán Ăn Gia Đình","769651","1","Quán món Việt, không phải món Bắc, dù ở Quận Tân Bình.","Quận Tân Bình","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Bạch Tuộc - Quán Nhậu Bình Dân","700103","1","Quán món Việt, không phải món Bắc, vị trí đúng Tân Bình.","Quận Tân Bình","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Món Bắc Since 1980","988877","2","Quán món Bắc đúng nhưng ở Quận 3, không tại Tân Bình.","Quận 3","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Quán Miền Trung - Mì Quảng & Bánh Bèo","948892","0","Quán món Việt miền Trung, không phải món Bắc và không ở Tân Bình.","Quận Bình Tân","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Thị Quán - Hương Vị Món Bắc","50226","2","Quán món Bắc đúng nhưng ở Quận 3, không phải Tân Bình.","Quận 3","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Bình Định Quán - Ẩm Thực Bình Định - Lê Văn Khương","913811","0","Quán món Việt, không phải món Bắc, và ở Quận 12.","Quận 12","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Quán Nhậu Tây Bắc","728026","0","Quán món Tây Bắc, không phải món Bắc (món miền Bắc chung), vị trí ngoài Tân Bình.","Tp. Thủ Đức","Tây Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Chợt Nhớ Quán - Ăn Vặt Online","749693","3","Quán món Bắc đúng, tuy nhiên không ở Tân Bình mà ở Thủ Đức; giá phù hợp.","Tp. Thủ Đức","Món Bắc","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Quán Đất Phú - Quán Ăn Bình Dân","695403","0","Quán món Việt, không phải món Bắc, ở Thủ Đức.","Tp. Thủ Đức","Món Việt","pinecone"
"Cho mình vài quán món Bắc ở Tân Bình giá ổn","Phở Cute Bắc Hải","954281","1","Quán món Việt, không phải món Bắc, tuy ở Tân Bình giá rẻ phù hợp.","Quận Tân Bình","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Chợ Hải Sản - Quán Nhậu Bình Dân","723993","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận Bình Tân","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hải Sản 98 - Phan Xích Long","25466","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận Phú Nhuận","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Cô Giang Quán - Quán Ăn Hải Sản","929503","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hải Sản Hải Âu - Bạch Đằng","946059","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận Tân Bình","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Biển Nhà Tôi - Quán Ăn Hải Sản","758278","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Huyện Cần Giờ","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hương Biển Quán - Nhậu Hải Sản","949273","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận 3","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Quán Hải Sản Tươi Sống Số 6","709860","3","Quán hải sản ở Quận Bình Thạnh, phù hợp vị trí, chưa có đánh giá chất lượng, không có thông tin vị trí đẹp rõ ràng.","Quận Bình Thạnh","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Quán Hải Sản Bình Thuận","752994","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận Tân Phú","Món Miền Trung","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hải Sản Phố - Đường Số 23","963692","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Nhà Hàng Đảo Hải Sản","862199","4","Quán hải sản ở Quận Bình Thạnh, có đánh giá good, vị trí tại Vòng Xoay Hàng Xanh là vị trí đẹp.","Quận Bình Thạnh","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Lá Giang - Quán Ăn Hải Sản","931899","4","Quán hải sản ở Quận Bình Thạnh, đánh giá excellent tốt, vị trí Thanh Đa - Bình Quới đẹp.","Quận Bình Thạnh","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Thủy Cung 257 - Vựa Hải Sản","986062","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận Tân Phú","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hải Sản Thái Hà 2 - Hải Sản Bình Châu","239860","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Hương Biển - Hải Sản","68075","4","Quán hải sản ở Quận Bình Thạnh, đánh giá good, vị trí Thanh Đa - Bình Quới đẹp.","Quận Bình Thạnh","Món Việt","pinecone"
"Mình cần quán hải sản ở Bình Thạnh có vị trí đẹp","Thành Cá 3 - Quán Hải Sản","976301","0","Quán không ở Quận Bình Thạnh, không phù hợp vị trí.","Quận 9","Món Việt","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Thanh Ngoan - Quán Ăn Hàn Quốc","777632","0","Quán không thuộc quận 5 và không phục vụ món Hàn, cũng không nhận đặt bàn.","Quận 7","Món Việt","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","K-Food - Korean Fast Food & Fine Grocery","677154","0","Quán không ở quận 5 và không nhận đặt bàn.","Tp. Thủ Đức","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Hanuri - Quán Ăn Hàn Quốc - Điện Biên Phủ","273297","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 3","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Số 1 GOGI - Quán Ăn Hàn Quốc","634746","0","Quán không ở quận 5, không nhận đặt bàn.","Quận 7","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Nhà Hàng DokDo - Ẩm Thực Hàn Quốc","238965","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 7","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Quán Ăn 52","858546","0","Quán không ở quận 5, không phục vụ món Hàn và không nhận đặt bàn.","Quận 7","Món Việt","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Moon Tokbokki - Quán Ăn Hàn Quốc","997906","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 7","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Quán Ăn Hàn Quốc - Trường Chinh","24555","0","Quán không ở quận 5.","Quận 12","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Apuro - Ẩm Thực Hàn Quốc","676469","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 1","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Quán Ăn Chú Hojun","205575","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 7","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Ú - Korean Street Food","640706","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 11","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Dong Dong Ju - Quán Ăn Hàn Quốc","803027","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 2","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Dakbalssalon - Quán Ăn Hàn Quốc","303112","0","Quán không ở quận 5 và không phục vụ món Hàn, không nhận đặt bàn.","Quận Tân Bình","Món Việt","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Hello Korea - Món Ăn Hàn Quốc","1045702","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 7","Món Hàn","pinecone"
"Có quán nào ở quận 5 bán món Hàn mà nhận đặt bàn không","Quán Ăn Việt Hàn","251145","0","Quán không ở quận 5 và không nhận đặt bàn.","Quận 12","Món Việt || Món Hàn","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Hangout Restaurant","752753","1","Không ở Quận 7.","Quận 1","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Tài Ký 2 - Quán Ăn Gia Đình","784619","2","Nằm ở Quận 7, phù hợp gia đình, nhưng không phải buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Buffet Corner - Estella Place","953929","1","Không ở Quận 7.","Quận 2","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","The Greenhouse - Pizza, Pasta & Salad","974252","2","Nằm Quận 7, phù hợp gia đình nhưng không buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Huynh Đệ Quán - Quán Ăn Gia Đình","978070","2","Nằm Quận 7, phù hợp gia đình nhưng không buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Buffet Haha","681773","1","Không ở Quận 7.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Blessed Bistro","1059243","1","Nằm Quận 7, không phải buffet.","Quận 7","Quốc tế","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Hội Ngộ Quán - Quán Ăn Gia Đình - Đường Số 42","800445","1","Không ở Quận 7 và không buffet.","Quận 2","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Nhà Hàng 3 In 1","259641","0","Không phải buffet, không ở Quận 7.","Quận Tân Phú","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Shabu Ya - Crescent Mall","998358","4","Buffet, Quận 7, phù hợp gia đình, mở cửa cuối tuần.","Quận 7","Món Nhật","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Quán Ăn Gia Đình 105","202851","1","Nằm Quận 7, phù hợp gia đình nhưng không buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Quán Ăn Bà Tám","784823","1","Nằm Quận 7, phù hợp gia đình nhưng không buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Hoàng Yến Buffet - Cao Thắng Mall","672478","1","Không ở Quận 7.","Quận 3","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Hương Xưa - MÓN NGON HÀ NỘI","692594","1","Nằm Quận 7, phù hợp gia đình nhưng không buffet.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán buffet ở quận 7 hợp gia đình vào cuối tuần","Quán Ăn Vặt Nhiệm","1063728","1","Nằm Quận 7, không buffet.","Quận 7","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Thích Uống Coffee & Beer","897119","4","Quán ở Quận 3, là quán cafe, có rất nhiều lượt xem.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Analog Zone - Coffee & Live Music","788096","4","Thuộc quận 3, quán cafe, có rất nhiều lượt xem và chất lượng tốt.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Binna Jewelry And Coffee","1033060","2","Ở Quận 3 và là quán cafe nhưng lượt xem chỉ ở mức thịnh hành, không nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Tiệm Cà Phê Nhạc Xưa Góc Sài Gòn","890690","4","Quán cafe ở Quận 3, có rất nhiều lượt xem khớp với yêu cầu.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Cafe Bình Dân","258933","1","Quán cafe ở Quận 3 nhưng lượt xem rất ít, không phù hợp yêu cầu.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Thức Uống Mang Đi - Coffee Nguyên Chất","778698","2","Nằm ở Quận 3 và là quán cafe nhưng lượt xem trung bình, không nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","149 Laha Tea & Coffee House","974270","3","Quán cafe ở Quận 3 có nhiều lượt xem nhưng không phải rất nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Kino Coffee & More","184526","2","Quán cafe Quận 3 có lượt xem thịnh hành nhưng không phải rất nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Hi Coffee & Tea - Kỳ Đồng","884497","1","Quán cafe Quận 3 nhưng lượt xem rất ít, không phù hợp.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","The Coffeeland","988152","4","Quán cafe ở Quận 3, có rất nhiều lượt xem và chất lượng tốt.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","83’87 De Caffé","964706","0","Quán không ở Quận 3, không phù hợp.","Quận 6","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Phố Cafe","226827","2","Quán cafe Quận 3 nhưng lượt xem trung bình, không nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Cafe Phố - Võ Thị Sáu","890111","1","Quán cafe Quận 3 nhưng lượt xem rất ít, không phù hợp.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","T Coffee - Trần Văn Đang","783703","2","Quán cafe Quận 3 nhưng lượt xem trung bình, không nhiều.","Quận 3","Món Việt","pinecone"
"Ở quận 3 có quán café nào nhiều lượt xem không","Ace Cafe & Beer","901406","0","Quán không ở Quận 3, không phù hợp.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Chụyy Quán - Món Ngon Vị Miền Trung","235870","1","Ẩm thực miền Trung, không phải món Việt chuẩn quán manager, chỉ phù hợp vị trí Quận 1.","Quận 1","Món Miền Trung","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Quán An - Ẩm Thực Việt Nam","62470","4","Món Việt phù hợp, quận 1, nhóm đối tượng có giới manager, nhà hàng chất lượng tốt, có đặt bàn.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Chào Em! Việt Bistro","662581","4","Món Việt chuẩn, quận 1, phù hợp giới manager, điểm chất lượng cao, có giao tận nơi.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Nhà Hàng Hương Việt - Ẩm Thực Việt","708452","3","Món Việt có kết hợp, quận 1, phù hợp giới manager nhưng thiếu review, không có đặt bàn.","Quận 1","Món Việt || Món Âu","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Quán Ăn Như Ý","790855","0","Không phải quận 1, vị trí khác xa.","Quận 12","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Mekong Kitchen - Vietnamese Cuisine - Nguyễn Thái Bình","695223","4","Món Việt, quận 1, phù hợp giới manager, điểm chất lượng tốt, có đặt bàn và giao tận nơi.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Ngõ - Món Việt - Crescent Mall","1012175","0","Không phải quận 1 mà nằm ở quận 7.","Quận 7","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Viet Street - Ẩm Thực Đường Phố Việt Nam - Vincom Center","881774","3","Món Việt đúng quận 1, ít phù hợp giới manager do điểm chất lượng thấp và review xấu.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Nhà Hàng Vị Ngon","1002616","0","Không phải quận 1 mà ở quận 2.","Quận 2","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Cơm Việt 190 - Sườn Cây & Mực NhồI","972874","2","Món Việt, quận 1 đúng vị trí nhưng không phù hợp nhóm giới manager, điểm chất lượng thấp.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Quán Ăn 109 - Khuông Việt","889106","0","Không phải quận 1 mà ở quận Tân Phú.","Quận Tân Phú","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Vui - Asian Kitchen - Shop Online","926613","2","Món Việt và quận 1 nhưng dạng shop online, không phù hợp nhóm giới manager.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","Quán Ăn Thanh Nga - Chuyên Các Món Việt - Thái","897606","2","Món Việt kết hợp, quận 1 đúng vị trí, nhưng không có đánh giá, không phù hợp nhóm manager.","Quận 1","Món Việt || Món Thái || Ý","pinecone"
"Mình muốn tìm quán món Việt ở quận 1 phù hợp giới manager","1B Garden - Nét Ẩm Thực Tinh Túy Chuẩn Gu Người Việt","950207","3","Món Việt, quận 1, phù hợp giới văn phòng nhưng chưa nêu rõ có giới manager.","Quận 1","Món Việt","pinecone"
